id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,notes
BR-RN-RIC-083,Spiaggia libera,"Via Michelangelo 13, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9948343,12.6744015,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-084,Spiaggia 42,"Via Michelangelo 13, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9947183,12.6747562,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-085,Bagno N. 41 Di Severino E Silvia,"Via Torino 16, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9945333,12.6750839,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-086,Spiaggia libera,"Via Torino 22A, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9942899,12.6755522,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-087,Spiaggia 39 Maci beach riccione,"Via Torino 22A, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9940586,12.6757795,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-088,Bagno 38 - Anna & Marcello,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9939155,12.6761589,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-089,Spiaggia 38 Riccione Playa Denis,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.993967,12.6764432,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-090,Bagno N 36,"Via Torino 16, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9936489,12.6765081,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-091,Nona Beach 35,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9933305,12.6773149,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-092,Bagni Mario 34 Riccione,"Via Torino 34, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9928855,12.6776809,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-093,Spiaggia 32 Riccione,"Via Torino 32, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9926458,12.6782192,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-094,Kiki Beach,"Viale Benvenuto Cellini 29, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9923964,12.6787968,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-095,Spiaggia 28 Riccione,"Via Torino 28, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9916795,12.6791634,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-096,Spiaggia 27 Riccione,"Via Torino 51, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9914357,12.6795718,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-097,Bagni 26 Giancarlo,"Via Torino 43, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9914046,12.6798089,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-098,Bagno 25 - La Spiaggia 25- Coop.Adriatica,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9911132,12.6802362,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-099,Spiaggia 23 Riccione - Bagni Tonino,"Via Torino 48, 47838 Bagni 23 RN, Italia",Bagni 23,RN,Emilia-Romagna,2,PRED,43.9908599,12.6811523,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-100,Bahia Antigua Spiaggia 20,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9903125,12.6819447,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-101,Fontanelle Beach Bagno 19,"Via Torino 5, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9900506,12.6822008,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-102,Pedra del Sol Bagno 18,"Via Torino 55, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9897244,12.6825938,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-103,Mario's bagno 17,"Via Torino 61, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.989574,12.6833212,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-104,Bagno Guerrino n.16,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9893646,12.6839075,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-105,Bagni 12 Luca Riccione,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9878773,12.6851504,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-106,Spiaggia Libera,"Via Torino 81, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9869621,12.6866291,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-107,Zona Spiaggia 2 Riccione Cesare & Beach Bar DUE,"Via Torino 91, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9861588,12.6881847,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-108,Spiaggia Zona 3 Riccione,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9863501,12.6877799,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-109,Zona 4 Riccione,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9865735,12.6874308,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-110,Bagni Mario Z.5,"Via Torino 81, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9867222,12.686985,lat/lng to be filled via overrides/geocoding pipeline.
